label,mean_weed_prob,pixel_count,area_m2,area_ha,zone,usage_L
1,0.07728788256645203,1395,3.4875000000000007,0.00034875000000000005,Zona Blu,0.00041850000000000014
2,0.05967683717608452,1694,4.235000000000001,0.0004235000000000001,Zona Gialla,0.0003176250000000001
3,0.059502992779016495,1447,3.6175000000000006,0.00036175000000000004,Zona Gialla,0.0002713125
4,0.05893168970942497,1256,3.1400000000000006,0.00031400000000000004,Zona Gialla,0.00023550000000000003
5,0.053830426186323166,1778,4.445000000000001,0.0004445000000000001,Zona Gialla,0.0003333750000000001
6,0.05105217173695564,1875,4.687500000000001,0.0004687500000000001,Zona Gialla,0.0003515625000000001
7,0.051304031163454056,1590,3.975000000000001,0.0003975000000000001,Zona Gialla,0.0002981250000000001
8,0.052390143275260925,1412,3.5300000000000007,0.00035300000000000007,Zona Gialla,0.00026475000000000007
9,0.07132959365844727,1781,4.452500000000001,0.00044525000000000006,Zona Blu,0.0005343000000000001
10,0.053418878465890884,1031,2.5775000000000006,0.00025775000000000006,Zona Gialla,0.00019331250000000004
11,0.05566953122615814,1053,2.6325000000000007,0.0002632500000000001,Zona Gialla,0.00019743750000000008
12,0.05227092280983925,1066,2.6650000000000005,0.0002665,Zona Gialla,0.00019987500000000002
13,0.054291386157274246,1165,2.9125000000000005,0.00029125000000000006,Zona Gialla,0.00021843750000000004
14,0.04926631599664688,1268,3.170000000000001,0.00031700000000000006,Zona Gialla,0.00023775000000000006
15,0.10194188356399536,1834,4.585000000000001,0.0004585000000000001,Zona Rossa,0.0006877500000000001
16,0.0857153832912445,3046,7.615000000000001,0.0007615000000000001,Zona Blu,0.0009138000000000003
17,0.15692658722400665,1802,4.505000000000001,0.00045050000000000005,Zona Rossa,0.0006757500000000001
18,0.0504477396607399,1320,3.3000000000000007,0.00033000000000000005,Zona Gialla,0.00024750000000000005
19,0.0857459306716919,2125,5.312500000000001,0.00053125,Zona Blu,0.0006375000000000002
20,0.09754229336977005,1761,4.402500000000001,0.00044025000000000005,Zona Blu,0.0005283000000000001
21,0.05708533152937889,1552,3.880000000000001,0.00038800000000000005,Zona Gialla,0.000291
22,0.04987553879618645,1713,4.282500000000001,0.0004282500000000001,Zona Gialla,0.0003211875000000001
23,0.08510241657495499,1484,3.710000000000001,0.0003710000000000001,Zona Blu,0.00044520000000000014
24,0.05073822662234306,1697,4.242500000000001,0.00042425000000000004,Zona Gialla,0.0003181875
25,0.11141613870859146,2084,5.210000000000001,0.0005210000000000001,Zona Rossa,0.0007815000000000001
26,0.09320694953203201,1456,3.6400000000000006,0.00036400000000000007,Zona Blu,0.00043680000000000015
27,0.07045026868581772,1558,3.895000000000001,0.0003895000000000001,Zona Blu,0.0004674000000000002
28,0.08590833842754364,2044,5.110000000000001,0.0005110000000000002,Zona Blu,0.0006132000000000003
29,0.089241161942482,1390,3.4750000000000005,0.00034750000000000004,Zona Blu,0.0004170000000000001
30,0.09383921325206757,1605,4.012500000000001,0.00040125000000000013,Zona Blu,0.0004815000000000002
31,0.08003389090299606,1547,3.8675000000000006,0.00038675000000000005,Zona Blu,0.0004641000000000001
32,0.0485578328371048,1685,4.212500000000001,0.00042125000000000013,Zona Gialla,0.0003159375000000001
33,0.07220429927110672,1146,2.8650000000000007,0.0002865000000000001,Zona Blu,0.00034380000000000017
34,0.11140010505914688,2160,5.400000000000001,0.0005400000000000001,Zona Rossa,0.0008100000000000002
35,0.13923560082912445,1928,4.820000000000001,0.0004820000000000001,Zona Rossa,0.0007230000000000001
36,0.10687887668609619,1806,4.515000000000001,0.0004515000000000001,Zona Rossa,0.0006772500000000001
37,0.09694140404462814,1688,4.220000000000001,0.00042200000000000007,Zona Blu,0.0005064000000000002
38,0.06855639070272446,1701,4.2525,0.00042525000000000006,Zona Gialla,0.00031893750000000005
39,0.06723742187023163,1616,4.040000000000001,0.0004040000000000001,Zona Gialla,0.0003030000000000001
40,0.05517999455332756,1621,4.052500000000001,0.0004052500000000001,Zona Gialla,0.00030393750000000006
41,0.08318888396024704,1578,3.9450000000000007,0.00039450000000000005,Zona Blu,0.0004734000000000001
42,0.06867284327745438,1293,3.232500000000001,0.0003232500000000001,Zona Gialla,0.00024243750000000006
43,0.08716750890016556,1615,4.0375000000000005,0.00040375000000000003,Zona Blu,0.0004845000000000001
44,0.06700120121240616,1435,3.587500000000001,0.0003587500000000001,Zona Gialla,0.00026906250000000004
45,0.061418887227773666,1943,4.857500000000001,0.00048575000000000007,Zona Gialla,0.00036431250000000005
46,0.08386509865522385,1338,3.3450000000000006,0.00033450000000000005,Zona Blu,0.0004014000000000001
47,0.18028497695922852,1472,3.6800000000000006,0.00036800000000000005,Zona Rossa,0.0005520000000000001
48,0.08989254385232925,2739,6.847500000000001,0.0006847500000000001,Zona Blu,0.0008217000000000003
49,0.06956563889980316,1729,4.322500000000001,0.00043225000000000007,Zona Gialla,0.00032418750000000004
50,0.13527032732963562,1650,4.125000000000001,0.0004125000000000001,Zona Rossa,0.0006187500000000002
51,0.11183001101016998,2289,5.722500000000001,0.0005722500000000001,Zona Rossa,0.0008583750000000001
52,0.0866120383143425,3058,7.645000000000001,0.0007645000000000001,Zona Blu,0.0009174000000000003
53,0.10071329027414322,1686,4.215000000000001,0.00042150000000000005,Zona Rossa,0.0006322500000000001
54,0.08623452484607697,1945,4.862500000000001,0.0004862500000000001,Zona Blu,0.0005835000000000001
55,0.07968050986528397,1349,3.3725000000000005,0.00033725000000000004,Zona Blu,0.00040470000000000013
56,0.09985648095607758,2777,6.942500000000002,0.0006942500000000002,Zona Blu,0.0008331000000000004
57,0.05586270987987518,1996,4.990000000000001,0.0004990000000000001,Zona Gialla,0.00037425000000000007
58,0.07704361528158188,1589,3.9725000000000006,0.00039725000000000003,Zona Blu,0.0004767000000000001
59,0.09381740540266037,1724,4.3100000000000005,0.00043100000000000007,Zona Blu,0.0005172000000000002
60,0.08345002681016922,1784,4.460000000000001,0.0004460000000000001,Zona Blu,0.0005352000000000002
61,0.10988258570432663,912,2.2800000000000002,0.000228,Zona Rossa,0.000342
62,0.10658467561006546,803,2.0075000000000003,0.00020075000000000003,Zona Rossa,0.00030112500000000007
63,0.07458378374576569,1080,2.7000000000000006,0.00027000000000000006,Zona Blu,0.0003240000000000001
64,0.0883667841553688,1995,4.987500000000001,0.0004987500000000001,Zona Blu,0.0005985000000000002
65,0.10609457641839981,2505,6.262500000000001,0.0006262500000000001,Zona Rossa,0.0009393750000000001
66,0.10058815777301788,2111,5.277500000000001,0.0005277500000000001,Zona Rossa,0.0007916250000000002
67,0.13090278208255768,1795,4.487500000000001,0.0004487500000000001,Zona Rossa,0.0006731250000000001
68,0.08706901222467422,2408,6.020000000000001,0.0006020000000000001,Zona Blu,0.0007224000000000002
69,0.0795355886220932,2133,5.332500000000001,0.0005332500000000001,Zona Blu,0.0006399000000000002
70,0.0827367901802063,2133,5.332500000000001,0.0005332500000000001,Zona Blu,0.0006399000000000002
71,0.12514640390872955,2012,5.030000000000001,0.0005030000000000001,Zona Rossa,0.0007545000000000002
72,0.118154376745224,1635,4.0875,0.00040875000000000004,Zona Rossa,0.0006131250000000001
