label,mean_weed_prob,pixel_count,area_m2,area_ha,zone,usage_L
1,0.00010082539665745571,3140,7.850000000000001,0.0007850000000000001,Zona Verde,0.0
2,9.814725490286946e-05,3903,9.757500000000002,0.0009757500000000002,Zona Verde,0.0
3,0.00013664572907146066,3441,8.602500000000001,0.0008602500000000001,Zona Verde,0.0
4,9.822630818234757e-05,3105,7.762500000000001,0.0007762500000000001,Zona Verde,0.0
5,0.003165369387716055,3219,8.047500000000001,0.0008047500000000001,Zona Verde,0.0
6,0.00020344278891570866,2057,5.142500000000001,0.0005142500000000001,Zona Verde,0.0
7,0.0001635823427932337,1720,4.300000000000001,0.0004300000000000001,Zona Verde,0.0
8,0.000376068550394848,1746,4.365000000000001,0.0004365000000000001,Zona Verde,0.0
9,0.00032499307417310774,1760,4.400000000000001,0.0004400000000000001,Zona Verde,0.0
10,0.014016736298799515,4413,11.032500000000002,0.0011032500000000003,Zona Verde,0.0
11,0.044815290719270706,3673,9.182500000000001,0.0009182500000000001,Zona Gialla,0.0006886875000000001
12,0.008474803529679775,4281,10.702500000000002,0.0010702500000000002,Zona Verde,0.0
13,0.016170665621757507,3287,8.217500000000001,0.0008217500000000001,Zona Verde,0.0
14,0.013536224141716957,2459,6.147500000000001,0.0006147500000000001,Zona Verde,0.0
15,0.010640998370945454,2364,5.910000000000001,0.000591,Zona Verde,0.0
16,0.00010725041647674516,3572,8.930000000000001,0.0008930000000000001,Zona Verde,0.0
17,0.006136057898402214,1664,4.160000000000001,0.0004160000000000001,Zona Verde,0.0
18,0.017100919038057327,3364,8.410000000000002,0.0008410000000000002,Zona Verde,0.0
19,0.009255442768335342,3186,7.965000000000002,0.0007965000000000001,Zona Verde,0.0
20,0.0031584135722368956,3599,8.997500000000002,0.0008997500000000003,Zona Verde,0.0
21,0.004104586783796549,3196,7.990000000000002,0.0007990000000000002,Zona Verde,0.0
22,0.001490481081418693,3400,8.500000000000002,0.0008500000000000002,Zona Verde,0.0
23,0.007430108264088631,4824,12.060000000000002,0.0012060000000000003,Zona Verde,0.0
24,0.0028892154805362225,3627,9.067500000000003,0.0009067500000000002,Zona Verde,0.0
25,0.0008498219540342689,2165,5.412500000000001,0.0005412500000000002,Zona Verde,0.0
26,0.09230853617191315,1637,4.092500000000001,0.0004092500000000001,Zona Blu,0.0004911000000000002
27,0.008865447714924812,2851,7.127500000000001,0.0007127500000000002,Zona Verde,0.0
28,0.010690208524465561,4316,10.790000000000003,0.0010790000000000003,Zona Verde,0.0
29,0.007853362709283829,3653,9.132500000000002,0.0009132500000000002,Zona Verde,0.0
30,0.005727521143853664,3496,8.740000000000002,0.0008740000000000002,Zona Verde,0.0
31,0.0026111227925866842,3996,9.990000000000002,0.000999,Zona Verde,0.0
32,0.012498170137405396,3760,9.400000000000002,0.0009400000000000002,Zona Verde,0.0
33,0.005513160955160856,4723,11.807500000000003,0.0011807500000000004,Zona Verde,0.0
34,0.007228509057313204,3570,8.925000000000002,0.0008925000000000003,Zona Verde,0.0
35,0.009564604610204697,2190,5.475000000000001,0.0005475000000000001,Zona Verde,0.0
36,0.00880318321287632,4779,11.947500000000002,0.00119475,Zona Verde,0.0
37,0.010971973650157452,3570,8.925000000000002,0.0008925000000000003,Zona Verde,0.0
38,0.007814445532858372,3696,9.240000000000002,0.0009240000000000002,Zona Verde,0.0
39,0.0022380670998245478,4610,11.525000000000002,0.0011525000000000003,Zona Verde,0.0
40,0.002767101628705859,3625,9.062500000000002,0.0009062500000000002,Zona Verde,0.0
41,0.008832866325974464,4503,11.257500000000002,0.0011257500000000002,Zona Verde,0.0
42,0.08152632415294647,3172,7.9300000000000015,0.0007930000000000002,Zona Blu,0.0009516000000000004
43,0.004750978667289019,2919,7.297500000000001,0.0007297500000000001,Zona Verde,0.0
44,0.002709032502025366,2738,6.8450000000000015,0.0006845000000000001,Zona Verde,0.0
45,0.016792189329862595,4046,10.115000000000002,0.0010115000000000002,Zona Verde,0.0
46,0.009610602632164955,2618,6.545000000000002,0.0006545000000000001,Zona Verde,0.0
47,0.0005415230407379568,2466,6.165000000000001,0.0006165000000000001,Zona Verde,0.0
48,0.001893252832815051,3016,7.540000000000002,0.0007540000000000002,Zona Verde,0.0
49,0.012126585468649864,4602,11.505000000000003,0.0011505000000000003,Zona Verde,0.0
50,0.0033524909522384405,3192,7.980000000000001,0.0007980000000000001,Zona Verde,0.0
51,0.001859440584667027,3665,9.162500000000001,0.0009162500000000002,Zona Verde,0.0
52,0.004900127649307251,2919,7.297500000000001,0.0007297500000000001,Zona Verde,0.0
53,0.0014615347608923912,4142,10.355000000000002,0.0010355000000000002,Zona Verde,0.0
54,0.0005176033591851592,2842,7.105000000000001,0.0007105000000000001,Zona Verde,0.0
55,0.0031398050487041473,3406,8.515000000000002,0.0008515000000000003,Zona Verde,0.0
56,0.0032955582719296217,4055,10.137500000000003,0.0010137500000000003,Zona Verde,0.0
57,0.004704436752945185,3772,9.430000000000001,0.0009430000000000002,Zona Verde,0.0
58,0.002060385886579752,2339,5.847500000000001,0.0005847500000000001,Zona Verde,0.0
59,0.007438918575644493,3012,7.530000000000001,0.0007530000000000001,Zona Verde,0.0
60,0.0004417016461957246,2539,6.347500000000001,0.0006347500000000001,Zona Verde,0.0
61,0.0065863896161317825,2903,7.257500000000001,0.0007257500000000002,Zona Verde,0.0
62,0.015029268339276314,2924,7.310000000000001,0.0007310000000000001,Zona Verde,0.0
63,0.0005278520984575152,1411,3.5275000000000007,0.0003527500000000001,Zona Verde,0.0
64,0.0036605345085263252,2857,7.142500000000001,0.0007142500000000001,Zona Verde,0.0
65,0.002342230174690485,3734,9.335000000000003,0.0009335000000000003,Zona Verde,0.0
66,0.020915064960718155,3132,7.830000000000002,0.0007830000000000002,Zona Verde,0.0
67,0.0103848185390234,3036,7.590000000000002,0.0007590000000000001,Zona Verde,0.0
68,0.0015823619905859232,2890,7.225000000000001,0.0007225000000000002,Zona Verde,0.0
69,0.00036496500251814723,2380,5.950000000000001,0.0005950000000000002,Zona Verde,0.0
70,0.0012322604889050126,4276,10.690000000000001,0.001069,Zona Verde,0.0
71,0.00030860421247780323,2842,7.105000000000001,0.0007105000000000001,Zona Verde,0.0
72,0.007544596679508686,2716,6.790000000000001,0.0006790000000000001,Zona Verde,0.0
73,0.0002556876861490309,2497,6.2425000000000015,0.0006242500000000001,Zona Verde,0.0
74,0.0021841730922460556,3250,8.125000000000002,0.0008125000000000002,Zona Verde,0.0
75,0.009759356267750263,3070,7.675000000000002,0.0007675000000000002,Zona Verde,0.0
76,0.0009809999028220773,2930,7.325000000000001,0.0007325000000000001,Zona Verde,0.0
77,0.007420190144330263,2900,7.250000000000002,0.0007250000000000002,Zona Verde,0.0
