label,mean_weed_prob,pixel_count,area_m2,area_ha,zone,usage_L
1,0.01665613055229187,200654,501.6350000000001,0.050163500000000014,Zona Verde,0.0
2,0.305522620677948,9428,23.570000000000004,0.0023570000000000006,Zona Rossa,0.003535500000000001
3,0.08822505921125412,2125,5.312500000000001,0.00053125,Zona Blu,0.0006375000000000002
4,0.6001887321472168,11855,29.637500000000006,0.0029637500000000007,Zona Rossa,0.004445625000000001
5,0.0009939244482666254,723,1.8075000000000003,0.00018075000000000003,Zona Verde,0.0
6,0.19641825556755066,799,1.9975000000000005,0.00019975000000000006,Zona Rossa,0.0002996250000000001
7,0.3101668953895569,19889,49.72250000000001,0.004972250000000001,Zona Rossa,0.0074583750000000015
8,0.08702538162469864,1621,4.052500000000001,0.0004052500000000001,Zona Blu,0.0004863000000000002
9,0.12869839370250702,4606,11.515000000000002,0.0011515000000000002,Zona Rossa,0.0017272500000000003
10,0.332727313041687,714,1.7850000000000004,0.00017850000000000003,Zona Rossa,0.00026775000000000003
11,0.11965157836675644,5242,13.105000000000002,0.0013105000000000002,Zona Rossa,0.0019657500000000005
12,0.1295299530029297,1184,2.9600000000000004,0.00029600000000000004,Zona Rossa,0.00044400000000000006
13,0.3881869316101074,3304,8.260000000000002,0.0008260000000000001,Zona Rossa,0.001239
