label,mean_weed_prob,pixel_count,area_m2,area_ha,zone,usage_L
1,0.09015370905399323,33036,82.59000000000002,0.008259000000000002,Zona Blu,0.009910800000000004
2,0.0038753324188292027,25979,64.94750000000002,0.006494750000000002,Zona Verde,0.0
3,0.0041223857551813126,22042,55.10500000000001,0.0055105000000000015,Zona Verde,0.0
4,0.007157894317060709,26151,65.37750000000001,0.006537750000000001,Zona Verde,0.0
5,0.006239970214664936,26489,66.22250000000001,0.006622250000000001,Zona Verde,0.0
6,0.017682809382677078,22323,55.80750000000001,0.0055807500000000015,Zona Verde,0.0
7,0.0018289739964529872,27384,68.46000000000001,0.0068460000000000005,Zona Verde,0.0
8,0.0018014723900705576,27690,69.22500000000001,0.006922500000000001,Zona Verde,0.0
9,0.0026062869001179934,25455,63.63750000000001,0.006363750000000001,Zona Verde,0.0
10,0.002516877604648471,25595,63.98750000000001,0.006398750000000001,Zona Verde,0.0
